id,plugin,channels,irlen_s,spl,X_mean,X_std,inverse_ratio_mean,inverse_ratio_std
1,new,16,2.0,1024,6.316180225214329,0.060754816049155946,0.15833333333333333,0.0015275252316519518
1,old,16,2.0,1024,3.373304900361334,0.052968336910116556,0.2965,0.004654746681256343
2,new,25,0.3,1024,15.795554505231925,0.37820539127987735,0.06333333333333334,0.0015275252316519462
2,old,25,0.3,1024,8.623714113439627,0.1989108910537298,0.11599999999999999,0.0026457513110645864
3,new,36,0.085,1024,10.809682559281276,0.5388039576944289,0.09266666666666667,0.0047258156262526205
3,old,36,0.085,1024,9.137426900584796,0.2436647173489277,0.1095,0.0029999999999999944
4,new,16,2.0,128,5.226702379745582,0.04162515064927388,0.19133333333333336,0.0015275252316519557
4,old,16,2.0,128,1.9132949056467219,0.009221171602233916,0.5226666666666667,0.0025166114784236004
5,new,25,0.3,128,12.552742616033754,0.09135289069456114,0.07966666666666666,0.0005773502691896273
5,old,25,0.3,128,6.042571843463449,0.047137573973097625,0.1655,0.0012909944487358087
6,new,36,0.085,128,10.949195731804428,0.06896204839818632,0.09133333333333334,0.0005773502691896203
6,old,36,0.085,128,7.94182354669112,0.23873305108045043,0.126,0.00374165738677394
7,new,16,2.0,256,5.952521555930123,0.035432303621953834,0.168,0.000999999999999994
7,old,16,2.0,256,1.964641597657683,0.0038598141242060253,0.509,0.001000000000000098
8,new,25,0.3,256,14.779045946736906,0.12672306171853187,0.06766666666666667,0.0005773502691896302
8,old,25,0.3,256,6.160216112499685,0.021864359205847873,0.16233333333333333,0.0005773502691896243
9,new,36,0.085,256,11.966260513939602,0.26111231572246296,0.08360000000000001,0.0018165902124585034
9,old,36,0.085,256,8.364559125019678,0.18567311718570845,0.1196,0.0027018512172212587
10,new,16,2.0,512,6.172839506172839,0.0,0.162,0.0
10,old,16,2.0,512,2.0369280655767388,0.028509599199530777,0.49099999999999994,0.006928203230275571
11,new,25,0.3,512,15.46474358974359,0.13878612240135327,0.06466666666666666,0.0005773502691896273
11,old,25,0.3,512,6.147746662651812,0.043462079884795494,0.16266666666666665,0.0011547005383792546
12,new,36,0.085,512,12.336621053678256,0.4296441909607272,0.08114285714285714,0.002794552524023081
12,old,36,0.085,512,8.327005998025726,0.2277983101264956,0.12016666666666669,0.0033115957885386134
13,new,16,2.0,64,4.444851853100614,0.05197062753306091,0.225,0.0026457513110645587
13,old,16,2.0,64,1.9035548313114854,0.002090712544594016,0.5253333333333333,0.0005773502691896423
14,new,25,0.3,64,9.93913493913494,0.28037600485121594,0.10066666666666667,0.0028867513459481134
14,old,25,0.3,64,5.747252990625523,0.0330307350915021,0.17400000000000002,0.0009999999999999974
15,new,36,0.085,64,9.146510981373368,0.04815264964050227,0.10933333333333332,0.0005773502691896193
15,old,36,0.085,64,7.571026388310632,0.25057210748037195,0.1322,0.004438468204234424
