id,plugin,channels,irlen_s,spl,measure,file,time,input_length,X,inverse_ratio
1,new,16,2.0,1024,1,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 10_57_51.txt,158.0,1000.0,6.329113924050633,0.158
1,new,16,2.0,1024,2,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 11_01_53.txt,157.0,1000.0,6.369426751592357,0.157
1,new,16,2.0,1024,3,.\1024spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 11_07_05.txt,160.0,1000.0,6.25,0.16
1,old,16,2.0,1024,1,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-17 17_21_04.txt,302.0,1000.0,3.3112582781456954,0.302
1,old,16,2.0,1024,2,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-17 17_44_07.txt,298.0,1000.0,3.355704697986577,0.298
1,old,16,2.0,1024,3,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 10_38_04.txt,291.0,1000.0,3.436426116838488,0.291
1,old,16,2.0,1024,4,.\1024spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 12_33_36.txt,295.0,1000.0,3.389830508474576,0.295
2,new,25,0.3,1024,1,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_16_21.txt,62.0,1000.0,16.129032258064516,0.062
2,new,25,0.3,1024,2,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_51_37.txt,63.0,1000.0,15.873015873015872,0.063
2,new,25,0.3,1024,3,.\1024spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_52_51.txt,65.0,1000.0,15.384615384615383,0.065
2,old,25,0.3,1024,1,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_21_11.txt,113.0,1000.0,8.849557522123893,0.113
2,old,25,0.3,1024,2,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_53_25.txt,117.0,1000.0,8.547008547008547,0.117
2,old,25,0.3,1024,3,.\1024spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_55_32.txt,118.0,1000.0,8.474576271186441,0.118
3,new,36,0.085,1024,1,.\1024spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 12_22_35.txt,89.0,1000.0,11.235955056179776,0.089
3,new,36,0.085,1024,2,.\1024spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 12_25_11.txt,98.0,1000.0,10.20408163265306,0.098
3,new,36,0.085,1024,3,.\1024spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---2024-06-07 17_55_14.txt,91.0,1000.0,10.989010989010987,0.091
3,old,36,0.085,1024,1,.\1024spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---00.16.40.00---2024-06-07 12_28_36.txt,108.0,1000.0,9.25925925925926,0.108
3,old,36,0.085,1024,2,.\1024spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---00.16.40.00---2024-06-07 12_31_01.txt,108.0,1000.0,9.25925925925926,0.108
3,old,36,0.085,1024,3,.\1024spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---00.16.40.00---2024-06-07 17_51_14.txt,108.0,1000.0,9.25925925925926,0.108
3,old,36,0.085,1024,4,.\1024spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---00.16.40.00---2024-06-25 11_34_51.txt,114.0,1000.0,8.771929824561404,0.114
4,new,16,2.0,128,1,.\128spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 17_41_17.txt,191.0,1000.0,5.235602094240837,0.191
4,new,16,2.0,128,2,.\128spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 17_44_55.txt,193.0,1000.0,5.181347150259067,0.193
4,new,16,2.0,128,3,.\128spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 18_24_21.txt,190.0,1000.0,5.2631578947368425,0.19
4,old,16,2.0,128,1,.\128spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 12_06_25.txt,523.0,1000.0,1.9120458891013383,0.523
4,old,16,2.0,128,2,.\128spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 12_15_47.txt,525.0,1000.0,1.9047619047619049,0.525
4,old,16,2.0,128,3,.\128spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 12_26_22.txt,520.0,1000.0,1.9230769230769231,0.52
5,new,25,0.3,128,1,.\128spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_10_49.txt,80.0,1000.0,12.5,0.08
5,new,25,0.3,128,2,.\128spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_03_44.txt,79.0,1000.0,12.658227848101266,0.079
5,new,25,0.3,128,3,.\128spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_05_13.txt,80.0,1000.0,12.5,0.08
5,old,25,0.3,128,1,.\128spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_31_54.txt,164.0,1000.0,6.097560975609756,0.164
5,old,25,0.3,128,2,.\128spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_29_03.txt,165.0,1000.0,6.0606060606060606,0.165
5,old,25,0.3,128,3,.\128spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_32_03.txt,167.0,1000.0,5.9880239520958085,0.167
5,old,25,0.3,128,4,.\128spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_35_04.txt,166.0,1000.0,6.024096385542169,0.166
6,new,36,0.085,128,1,.\128spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 12_11_45.txt,91.0,1000.0,10.989010989010987,0.091
6,new,36,0.085,128,2,.\128spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 12_14_47.txt,91.0,1000.0,10.989010989010987,0.091
6,new,36,0.085,128,3,.\128spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---2024-06-07 18_11_51.txt,92.0,1000.0,10.869565217391305,0.092
6,old,36,0.085,128,1,.\128spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_56_45.txt,127.0,1000.0,7.874015748031496,0.127
6,old,36,0.085,128,2,.\128spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 18_23_16.txt,126.0,1000.0,7.936507936507937,0.126
6,old,36,0.085,128,3,.\128spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---00.16.40.00---2024-06-07 18_18_05.txt,121.0,1000.0,8.264462809917354,0.121
6,old,36,0.085,128,4,.\128spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---00.16.40.00---2024-06-25 11_43_59.txt,130.0,1000.0,7.6923076923076925,0.13
7,new,16,2.0,256,1,.\256spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 18_49_54.txt,168.0,1000.0,5.9523809523809526,0.168
7,new,16,2.0,256,2,.\256spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 18_54_21.txt,169.0,1000.0,5.9171597633136095,0.169
7,new,16,2.0,256,3,.\256spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 18_57_25.txt,167.0,1000.0,5.9880239520958085,0.167
7,old,16,2.0,256,1,.\256spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 11_31_43.txt,508.0,1000.0,1.968503937007874,0.508
7,old,16,2.0,256,2,.\256spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 11_42_54.txt,509.0,1000.0,1.9646365422396856,0.509
7,old,16,2.0,256,3,.\256spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-18 11_56_54.txt,510.0,1000.0,1.96078431372549,0.51
8,new,25,0.3,256,1,.\256spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_12_47.txt,67.0,1000.0,14.92537313432836,0.067
8,new,25,0.3,256,2,.\256spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_58_21.txt,68.0,1000.0,14.705882352941176,0.068
8,new,25,0.3,256,3,.\256spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_59_44.txt,68.0,1000.0,14.705882352941176,0.068
8,old,25,0.3,256,1,.\256spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_28_13.txt,162.0,1000.0,6.172839506172839,0.162
8,old,25,0.3,256,2,.\256spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_38_50.txt,163.0,1000.0,6.134969325153374,0.163
8,old,25,0.3,256,3,.\256spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_42_03.txt,162.0,1000.0,6.172839506172839,0.162
9,new,36,0.085,256,1,.\256spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_36_45.txt,83.0,1000.0,12.048192771084338,0.083
9,new,36,0.085,256,2,.\256spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_56_15.txt,81.0,1000.0,12.34567901234568,0.081
9,new,36,0.085,256,3,.\256spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---2024-06-07 16_02_41.txt,84.0,1000.0,11.904761904761903,0.084
9,new,36,0.085,256,4,.\256spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---2024-06-07 16_05_19.txt,84.0,1000.0,11.904761904761903,0.084
9,new,36,0.085,256,5,.\256spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---2024-06-07 17_34_38.txt,86.0,1000.0,11.627906976744184,0.086
9,old,36,0.085,256,1,.\256spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---00.16.40.00---2024-06-07 12_41_15.txt,120.0,1000.0,8.333333333333334,0.12
9,old,36,0.085,256,2,.\256spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_22_02.txt,119.0,1000.0,8.403361344537815,0.119
9,old,36,0.085,256,3,.\256spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_24_46.txt,118.0,1000.0,8.474576271186441,0.118
9,old,36,0.085,256,4,.\256spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_29_04.txt,117.0,1000.0,8.547008547008547,0.117
9,old,36,0.085,256,5,.\256spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO-16.40---00.16.40.00---2024-06-25 11_40_44.txt,124.0,1000.0,8.064516129032258,0.124
10,new,16,2.0,512,1,.\512spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 10_44_44.txt,162.0,1000.0,6.172839506172839,0.162
10,new,16,2.0,512,2,.\512spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 10_50_51.txt,162.0,1000.0,6.172839506172839,0.162
10,new,16,2.0,512,3,.\512spl\spartaMcfx-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 10_54_16.txt,162.0,1000.0,6.172839506172839,0.162
10,old,16,2.0,512,1,.\512spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 13_45_05.txt,487.0,1000.0,2.053388090349076,0.487
10,old,16,2.0,512,2,.\512spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 13_54_17.txt,487.0,1000.0,2.053388090349076,0.487
10,old,16,2.0,512,3,.\512spl\OLDsparta-IR_1x16ch_96000samples_-1Hz_3pos_LFO-16.40---2024-06-19 14_06_13.txt,499.0,1000.0,2.004008016032064,0.499
11,new,25,0.3,512,1,.\512spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_14_42.txt,64.0,1000.0,15.625,0.064
11,new,25,0.3,512,2,.\512spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_54_50.txt,65.0,1000.0,15.384615384615383,0.065
11,new,25,0.3,512,3,.\512spl\spartaMcfx-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_56_24.txt,65.0,1000.0,15.384615384615383,0.065
11,old,25,0.3,512,1,.\512spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 15_24_58.txt,162.0,1000.0,6.172839506172839,0.162
11,old,25,0.3,512,2,.\512spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_45_12.txt,164.0,1000.0,6.097560975609756,0.164
11,old,25,0.3,512,3,.\512spl\OLDsparta-IR_1x25ch_14400samples_-1Hz_3pos_LFO-16.40---2024-06-17 16_48_22.txt,162.0,1000.0,6.172839506172839,0.162
12,new,36,0.085,512,1,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_20_05.txt,83.0,1000.0,12.048192771084338,0.083
12,new,36,0.085,512,2,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_24_08.txt,82.0,1000.0,12.195121951219512,0.082
12,new,36,0.085,512,3,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_29_02.txt,82.0,1000.0,12.195121951219512,0.082
12,new,36,0.085,512,4,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-06 17_33_24.txt,85.0,1000.0,11.764705882352942,0.085
12,new,36,0.085,512,5,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_48_45.txt,77.0,1000.0,12.987012987012989,0.077
12,new,36,0.085,512,6,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_51_43.txt,81.0,1000.0,12.34567901234568,0.081
12,new,36,0.085,512,7,.\512spl\spartaMcfx-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---2024-06-07 11_53_44.txt,78.0,1000.0,12.82051282051282,0.078
12,old,36,0.085,512,1,.\512spl\OLDsparta-IR_1x36ch_4095samples_-1Hz_3pos_LFO---00.16.40.00---00.16.40.00---2024-06-07 11_43_52.txt,118.0,1000.0,8.474576271186441,0.118
