id,plugin,channels,irlen_s,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,new,16,0.1,1024,1,Screenshot (168).png,36.3,8.26,300.0,0.027548209366391185
1,new,16,0.1,1024,2,Screenshot (169).png,36.7,16.35,600.0,0.02724795640326975
1,old,16,0.1,1024,1,Screenshot (170).png,25.0,24.0,600.0,0.04
1,old,16,0.1,1024,2,Screenshot (171).png,23.6,25.42,600.0,0.0423728813559322
2,new,16,0.2,1024,1,Screenshot (172).png,32.5,9.23,300.0,0.03076923076923077
2,new,16,0.2,1024,2,Screenshot (173).png,32.1,9.35,300.0,0.03115264797507788
2,old,16,0.2,1024,1,Screenshot (174).png,18.8,15.96,300.0,0.05319148936170213
2,old,16,0.2,1024,2,Screenshot (175).png,18.8,15.96,300.0,0.05319148936170213
3,new,16,0.5,1024,1,Screenshot (176).png,24.2,12.4,300.0,0.04132231404958678
3,new,16,0.5,1024,2,Screenshot (177).png,23.7,12.66,300.0,0.04219409282700422
3,old,16,0.5,1024,1,Screenshot (178).png,11.2,26.79,300.0,0.08928571428571429
3,old,16,0.5,1024,2,Screenshot (179).png,11.4,26.32,300.0,0.08771929824561403
4,new,16,1.0,1024,1,Screenshot (180).png,15.2,19.74,300.0,0.06578947368421052
4,new,16,1.0,1024,2,Screenshot (181).png,15.3,19.61,300.0,0.06535947712418301
4,old,16,1.0,1024,1,Screenshot (182).png,6.8,44.12,300.0,0.14705882352941177
4,old,16,1.0,1024,2,Screenshot (183).png,6.8,44.12,300.0,0.14705882352941177
5,new,16,2.0,1024,1,Screenshot (184).png,6.8,44.12,300.0,0.14705882352941177
5,new,16,2.0,1024,2,Screenshot (185).png,6.9,43.48,300.0,0.14492753623188406
5,old,16,2.0,1024,1,Screenshot (186).png,3.7,16.22,60.0,0.27027027027027023
5,old,16,2.0,1024,2,Screenshot (187).png,3.6,16.67,60.0,0.2777777777777778
6,new,16,5.0,1024,1,Screenshot (188).png,1.6,37.5,60.0,0.625
6,new,16,5.0,1024,2,Screenshot (189).png,1.6,37.5,60.0,0.625
6,old,16,5.0,1024,1,Screenshot (190).png,1.5,20.0,30.0,0.6666666666666666
6,old,16,5.0,1024,2,Screenshot (191).png,1.5,20.0,30.0,0.6666666666666666
7,new,16,10.0,1024,1,Screenshot (192).png,0.4,67.0,30.0,2.5
7,new,16,10.0,1024,2,Screenshot (193).png,0.4,67.0,30.0,2.5
7,old,16,10.0,1024,1,Screenshot (194).png,0.7,42.86,30.0,1.4285714285714286
7,old,16,10.0,1024,2,Screenshot (195).png,0.7,42.86,30.0,1.4285714285714286
8,new,36,0.1,1024,1,Screenshot (196).png,17.3,17.34,300.0,0.057803468208092484
8,new,36,0.1,1024,2,Screenshot (197).png,17.0,17.65,300.0,0.058823529411764705
8,old,36,0.1,1024,1,Screenshot (198).png,12.5,24.0,300.0,0.08
8,old,36,0.1,1024,2,Screenshot (199).png,12.5,24.0,300.0,0.08
9,new,36,0.2,1024,1,Screenshot (200).png,15.3,19.61,300.0,0.06535947712418301
9,new,36,0.2,1024,2,Screenshot (201).png,15.2,19.74,300.0,0.06578947368421052
