id,plugin,channels,irlen_s,spl,X_mean,X_std,inverse_ratio_mean,inverse_ratio_std
1,MODOld,16,0.1,256,13.9,0.0,0.07193333333333332,0.0
2,MODOld,16,0.2,256,8.8,0.0,0.11363333333333335,0.0
3,MODOld,16,0.5,256,4.3,0.0,0.23256666666666664,0.0
4,MODOld,16,1.0,256,2.3,0.0,0.44,0.0
5,MODOld,16,2.0,256,1.1,0.0,0.909,0.0
6,MODOld,16,5.0,256,0.4,0.0,2.2,0.0
7,MODOld,16,10.0,256,0.2,0.0,5.066666666666666,0.0
8,MODOld,36,0.1,256,6.5,0.0,0.154,0.0
9,MODOld,36,0.2,256,4.1,0.0,0.24400000000000002,0.0
10,MODOld,36,0.5,256,1.9,0.0,0.5263333333333333,0.0
11,MODOld,36,1.0,256,1.0,0.0,1.0,0.0
12,MODOld,36,2.0,256,0.5,0.0,1.95,0.0235702260395515
13,MODOld,36,5.0,256,0.2,0.0,5.033333333333333,0.0
14,MODOld,36,10.0,256,0.1,0.0,11.066666666666666,0.0
15,MODOld,64,0.1,256,3.7,0.0,0.2703333333333333,0.0
16,MODOld,64,0.2,256,2.3,0.0,0.43466666666666665,0.0
17,MODOld,64,0.5,256,1.1,0.0,0.909,0.0
18,MODOld,64,1.0,256,0.5,0.0,1.8333333333333333,0.0
19,MODOld,64,2.0,256,0.3,0.0,3.466666666666667,0.0
20,MODOld,64,5.0,256,0.1,0.0,8.833333333333334,0.0
21,MODOld,64,10.0,256,0.1,0.0,8.8,0.0
