id,plugin,channels,irlen,spl,measure,screenshot,X,time,elapsed,remaining
1,new,16,100ms,256,1,Screenshot (252).png,33.90,0:17,elapsed:,remaining:
1,new,16,100ms,256,2,Screenshot (253).png,33.90,0:17,elapsed:,remaining:
1,old,16,100ms,256,1,Screenshot (254).png,18.80,0:31,elapsed:,remaining:
1,old,16,100ms,256,2,Screenshot (255).png,18.90,0:31,elapsed:,remaining:
2,new,16,200ms,256,1,Screenshot (256).png,30.00,0:10,elapsed:,remaining:
2,new,16,200ms,256,2,Screenshot (257).png,30.10,0:09,elapsed:,remaining:
2,old,16,200ms,256,1,Screenshot (258).png,13.70,0:21,elapsed:,remaining:
2,old,16,200ms,256,2,Screenshot (259).png,13.70,0:21,elapsed:,remaining:
3,new,16,500ms,256,1,Screenshot (260).png,22.70,0:13,elapsed:,remaining:
3,new,16,500ms,256,2,Screenshot (261).png,23.00,0:13,elapsed:,remaining:
3,old,16,500ms,256,1,Screenshot (262).png,7.20,0:41,elapsed:,remaining:
3,old,16,500ms,256,2,Screenshot (263).png,7.20,0:41,elapsed:,remaining:
4,new,16,1s,256,1,Screenshot (264).png,14.60,0:20,elapsed:,remaining:
4,new,16,1s,256,2,Screenshot (265).png,14.60,0:20,elapsed:,remaining:
4,old,16,1s,256,1,Screenshot (266).png,3.90,0:15,elapsed:,remaining:
4,old,16,1s,256,2,Screenshot (267).png,3.90,0:15,elapsed:,remaining:
5,new,16,2s,256,1,Screenshot (268).png,6.70,0:44,elapsed:,remaining:
5,new,16,2s,256,2,Screenshot (269).png,6.40,0:46,elapsed:,remaining:
5,old,16,2s,256,1,Screenshot (270).png,2.20,0:27,elapsed:,remaining:
5,old,16,2s,256,2,Screenshot (271).png,2.10,0:28,elapsed:,remaining:
6,new,16,5s,256,1,Screenshot (272).png,1.60,0:38,elapsed:,remaining:
6,new,16,5s,256,2,Screenshot (273).png,1.60,0:38,elapsed:,remaining:
6,old,16,5s,256,1,Screenshot (274).png,0.90,0:33,elapsed:,remaining:
6,old,16,5s,256,2,Screenshot (275).png,0.90,0:33,elapsed:,remaining:
7,new,16,10s,256,1,Screenshot (276).png,0.40,01:07,elapsed:,remaining:
7,new,16,10s,256,2,Screenshot (277).png,0.40,01:08,elapsed:,remaining:
7,old,16,10s,256,1,Screenshot (278).png,0.40,01:16,elapsed:,remaining:
7,old,16,10s,256,2,Screenshot (279).png,0.40,01:17,elapsed:,remaining:
8,new,36,100ms,256,1,Screenshot (280).png,17.20,0:17,elapsed:,remaining:
8,new,36,100ms,256,2,Screenshot (281).png,17.30,0:17,elapsed:,remaining:
8,old,36,100ms,256,1,Screenshot (282).png,9.90,0:30,elapsed:,remaining:
8,old,36,100ms,256,2,Screenshot (283).png,10.00,0:30,elapsed:,remaining:
9,new,36,200ms,256,1,Screenshot (284).png,15.10,0:19,elapsed:,remaining:
9,new,36,200ms,256,2,Screenshot (285).png,15.20,0:19,elapsed:,remaining:
9,old,36,200ms,256,1,Screenshot (286).png,6.80,0:44,elapsed:,remaining:
9,old,36,200ms,256,2,Screenshot (287).png,6.80,0:44,elapsed:,remaining:
10,new,36,500ms,256,1,Screenshot (288).png,10.60,0:28,elapsed:,remaining:
10,new,36,500ms,256,2,Screenshot (289).png,10.50,0:28,elapsed:,remaining:
10,old,36,500ms,256,1,Screenshot (290).png,3.20,0:18,elapsed:,remaining:
10,old,36,500ms,256,2,Screenshot (291).png,3.20,0:18,elapsed:,remaining:
11,new,36,1s,256,1,Screenshot (292).png,6.10,0:49,elapsed:,remaining:
