id,plugin,channels,irlen,spl,measure,screenshot,X,time,input_length,inverse_ratio
1,new,16,100ms,64,1,Screenshot (42).png,19.8,15.15,300.0,0.050505050505050504
1,new,16,100ms,64,2,Screenshot (43).png,19.7,15.23,300.0,0.050761421319796954
1,new,16,100ms,64,3,Screenshot (44).png,19.8,15.15,300.0,0.050505050505050504
1,old,16,100ms,64,1,Screenshot (45).png,14.2,21.13,300.0,0.07042253521126761
1,old,16,100ms,64,2,Screenshot (46).png,14.3,20.98,300.0,0.06993006993006992
1,old,16,100ms,64,3,Screenshot (47).png,14.2,21.13,300.0,0.07042253521126761
2,new,16,200ms,64,1,Screenshot (48).png,15.9,18.87,300.0,0.06289308176100629
2,new,16,200ms,64,2,Screenshot (49).png,16.1,18.63,300.0,0.06211180124223602
2,new,16,200ms,64,3,Screenshot (50).png,15.9,18.87,300.0,0.06289308176100629
2,old,16,200ms,64,1,Screenshot (51).png,11.3,26.55,300.0,0.08849557522123894
2,old,16,200ms,64,2,Screenshot (52).png,11.2,26.79,300.0,0.08928571428571429
2,old,16,200ms,64,3,Screenshot (53).png,11.2,26.79,300.0,0.08928571428571429
3,new,16,500ms,64,1,Screenshot (54).png,12.3,24.39,300.0,0.08130081300813008
3,new,16,500ms,64,2,Screenshot (55).png,12.3,24.39,300.0,0.08130081300813008
3,new,16,500ms,64,3,Screenshot (56).png,12.2,24.59,300.0,0.0819672131147541
3,old,16,500ms,64,1,Screenshot (57).png,6.4,46.88,300.0,0.15625
3,old,16,500ms,64,2,Screenshot (58).png,6.4,46.88,300.0,0.15625
3,old,16,500ms,64,3,Screenshot (59).png,6.4,46.88,300.0,0.15625
4,new,16,1s,64,1,Screenshot (60).png,8.5,35.29,300.0,0.11764705882352941
4,new,16,1s,64,2,Screenshot (61).png,7.6,39.47,300.0,0.13157894736842105
4,new,16,1s,64,3,Screenshot (62).png,6.7,44.78,300.0,0.14925373134328357
4,old,16,1s,64,1,Screenshot (63).png,3.6,83.33,300.0,0.2777777777777778
4,old,16,1s,64,2,Screenshot (64).png,3.6,83.33,300.0,0.2777777777777778
4,old,16,1s,64,3,Screenshot (65).png,3.6,83.33,300.0,0.2777777777777778
5,new,16,2s,64,1,Screenshot (66).png,4.7,63.83,300.0,0.2127659574468085
5,new,16,2s,64,2,Screenshot (67).png,4.4,68.18,300.0,0.22727272727272727
5,new,16,2s,64,3,Screenshot (68).png,4.7,63.83,300.0,0.2127659574468085
5,old,16,2s,64,1,Screenshot (69).png,2.0,147.0,300.0,0.5
5,old,16,2s,64,2,Screenshot (70).png,2.0,148.0,300.0,0.5
5,old,16,2s,64,3,Screenshot (71).png,2.0,149.0,300.0,0.5
6,new,16,5s,64,1,Screenshot (72).png,1.3,230.0,300.0,0.7692307692307692
6,new,16,5s,64,2,Screenshot (73).png,1.3,228.0,300.0,0.7692307692307692
6,new,16,5s,64,3,Screenshot (74).png,1.3,223.0,300.0,0.7692307692307692
6,old,16,5s,64,1,Screenshot (75).png,0.8,356.0,300.0,1.25
6,old,16,5s,64,2,Screenshot (76).png,0.8,358.0,300.0,1.25
6,old,16,5s,64,3,Screenshot (77).png,0.8,37.5,30.0,1.25
7,new,16,10s,64,1,Screenshot (78).png,0.4,76.0,30.0,2.5
7,new,16,10s,64,2,Screenshot (79).png,0.4,75.0,30.0,2.5
7,new,16,10s,64,3,Screenshot (80).png,0.4,76.0,30.0,2.5
7,old,16,10s,64,1,Screenshot (81).png,0.4,83.0,30.0,2.5
7,old,16,10s,64,2,Screenshot (82).png,0.4,83.0,30.0,2.5
7,old,16,10s,64,3,Screenshot (83).png,0.4,83.0,30.0,2.5
8,new,36,100ms,64,1,Screenshot (84).png,10.6,28.3,300.0,0.09433962264150944
8,new,36,100ms,64,2,Screenshot (85).png,10.7,28.04,300.0,0.09345794392523366
8,new,36,100ms,64,3,Screenshot (86).png,10.9,27.52,300.0,0.09174311926605504
8,old,36,100ms,64,1,Screenshot (87).png,8.8,34.09,300.0,0.11363636363636363
8,old,36,100ms,64,2,Screenshot (88).png,8.7,34.48,300.0,0.1149425287356322
8,old,36,100ms,64,3,Screenshot (89).png,8.8,34.09,300.0,0.11363636363636363
9,new,36,200ms,64,1,Screenshot (90).png,9.1,32.97,300.0,0.10989010989010989
9,new,36,200ms,64,2,Screenshot (91).png,9.0,33.33,300.0,0.1111111111111111
9,new,36,200ms,64,3,Screenshot (92).png,8.9,33.71,300.0,0.11235955056179775
9,old,36,200ms,64,1,Screenshot (93).png,6.2,48.39,300.0,0.16129032258064516
9,old,36,200ms,64,2,Screenshot (94).png,6.2,48.39,300.0,0.16129032258064516
9,old,36,200ms,64,3,Screenshot (95).png,6.3,47.62,300.0,0.15873015873015872
10,new,36,500ms,64,1,Screenshot (96).png,6.4,46.88,300.0,0.15625
10,new,36,500ms,64,2,Screenshot (97).png,6.3,47.62,300.0,0.15873015873015872
10,new,36,500ms,64,3,Screenshot (98).png,6.0,50.0,300.0,0.16666666666666666
10,old,36,500ms,64,1,Screenshot (99).png,3.0,100.0,300.0,0.3333333333333333
10,old,36,500ms,64,2,Screenshot (100).png,3.0,100.0,300.0,0.3333333333333333
10,old,36,500ms,64,3,Screenshot (101).png,3.0,100.0,300.0,0.3333333333333333
11,new,36,1s,64,1,Screenshot (102).png,4.2,14.29,60.0,0.23809523809523808
11,new,36,1s,64,2,Screenshot (103).png,4.2,14.29,60.0,0.23809523809523808
11,new,36,1s,64,3,Screenshot (104).png,4.2,14.29,60.0,0.23809523809523808
11,old,36,1s,64,1,Screenshot (105).png,1.8,33.33,60.0,0.5555555555555556
11,old,36,1s,64,2,Screenshot (106).png,1.8,33.33,60.0,0.5555555555555556
11,old,36,1s,64,3,Screenshot (107).png,1.8,33.33,60.0,0.5555555555555556
12,new,36,2s,64,1,Screenshot (108).png,2.2,13.64,30.0,0.45454545454545453
12,new,36,2s,64,2,Screenshot (109).png,2.2,13.64,30.0,0.45454545454545453
12,new,36,2s,64,3,Screenshot (110).png,2.1,14.29,30.0,0.47619047619047616
12,old,36,2s,64,1,Screenshot (111).png,0.9,33.33,30.0,1.1111111111111112
12,old,36,2s,64,2,Screenshot (112).png,0.9,33.33,30.0,1.1111111111111112
12,old,36,2s,64,3,Screenshot (113).png,0.9,33.33,30.0,1.1111111111111112
13,new,36,5s,64,1,Screenshot (114).png,0.6,50.0,30.0,1.6666666666666667
13,new,36,5s,64,2,Screenshot (115).png,0.6,50.0,30.0,1.6666666666666667
13,new,36,5s,64,3,Screenshot (116).png,0.6,50.0,30.0,1.6666666666666667
