id,plugin,channels,irlen,spl,measure,screenshot,X,time,elapsed,remaining
1,MODOld,16,100ms,64,1,Screenshot (336).png),4.8,02:06,elapsed:,remaining:
1,MODOld,16,100ms,64,1,Screenshot (337).png),4.9,01:01,elapsed:,remaining:
2,MODOld,16,200ms,64,1,Screenshot (338).png),2.6,00:23,elapsed:,remaining:
2,MODOld,16,200ms,64,1,Screenshot (339).png),2.6,00:23,elapsed:,remaining:
3,MODOld,16,500ms,64,1,Screenshot (340).png),1.2,00:51,elapsed:,remaining:
3,MODOld,16,500ms,64,1,Screenshot (341).png),1.2,00:50,elapsed:,remaining:
4,MODOld,16,1s,64,1,Screenshot (342).png),0.6,00:50,elapsed:,remaining:
4,MODOld,16,1s,64,1,Screenshot (343).png),0.6,00:49,elapsed:,remaining:
5,MODOld,16,2s,64,1,Screenshot (344).png),0.3,03:25,elapsed:,remaining:
5,MODOld,16,2s,64,1,Screenshot (345).png),0.3,01:43,elapsed:,remaining:
6,MODOld,16,5s,64,1,Screenshot (346).png),0.1,time:,00:33,03:38
6,MODOld,16,5s,64,1,Screenshot (347).png),0.1,time:,00:33,03:38
7,MODOld,16,10s,64,1,Screenshot (348).png),0.1,time:,00:16,08:44
7,MODOld,16,10s,64,1,Screenshot (349).png),0.1,time:,00:16,08:44
8,MODOld,36,100ms,64,1,Screenshot (350).png),2.3,00:12,elapsed:,remaining:
8,MODOld,36,100ms,64,1,Screenshot (351).png),2.3,00:13,elapsed:,remaining:
9,MODOld,36,200ms,64,1,Screenshot (352).png),1.2,00:24,elapsed:,remaining:
9,MODOld,36,200ms,64,1,Screenshot (353).png),1.2,00:24,elapsed:,remaining:
10,MODOld,36,500ms,64,1,Screenshot (354).png),0.5,time:,00:33,00:24
10,MODOld,36,500ms,64,1,Screenshot (355).png),0.5,time:,00:07,00:50
11,MODOld,36,1s,64,1,Screenshot (356).png),0.2,time:,00:38,02:03
11,MODOld,36,1s,64,1,Screenshot (357).png),0.2,time:,00:38,02:03
12,MODOld,36,2s,64,1,Screenshot (358).png),0.1,time:,00:09,03:38
12,MODOld,36,2s,64,1,Screenshot (359).png),0.1,time:,00:11,03:36
13,MODOld,36,5s,64,1,Screenshot (360).png),0.1,time:,00:23,03:25
13,MODOld,36,5s,64,1,Screenshot (361).png),0.1,time:,00:23,03:25
14,MODOld,36,10s,64,1,Screenshot (362).png),0.1,time:,00:23,03:25
14,MODOld,36,10s,64,1,Screenshot (363).png),0.1,time:,00:26,03:23
15,MODOld,64,100ms,64,1,Screenshot (364).png),1.3,00:23,elapsed:,remaining:
15,MODOld,64,100ms,64,1,Screenshot (365).png),1.3,00:23,elapsed:,remaining:
16,MODOld,64,200ms,64,1,Screenshot (366).png),0.7,time:,00:07,00:35
16,MODOld,64,200ms,64,1,Screenshot (367).png),0.7,time:,00:07,00:35
17,MODOld,64,500ms,64,1,Screenshot (368).png),0.3,time:,00:05,01:38
17,MODOld,64,500ms,64,1,Screenshot (369).png),0.3,time:,00:06,01:37
18,MODOld,64,1s,64,1,Screenshot (370).png),0.1,time:,00:16,03:10
18,MODOld,64,1s,64,1,Screenshot (371).png),0.1,time:,00:16,03:10
19,MODOld,64,2s,64,1,Screenshot (372).png),0.1,time:,00:21,03:07
19,MODOld,64,2s,64,1,Screenshot (373).png),0.1,time:,00:21,03:07
20,MODOld,64,5s,64,1,Screenshot (374).png),0.1,time:,00:21,03:07
20,MODOld,64,5s,64,1,Screenshot (375).png),0.1,time:,00:21,03:07
21,MODOld,64,10s,64,1,Screenshot (376).png),0.1,time:,00:26,03:04
21,MODOld,64,10s,64,1,Screenshot (377).png),0.1,time:,00:26,03:04
